Wort,Vergangenheit,Gegenwart,Tag,Wortart,D-Vergangenheit,D-Gegenwart,Imperativ,AP,Passive
"fingieren, erfinden",لَفَّق,-,-,Verb,-,-,-,-,-
anfangen,بَلَّش ,يبَلِّش,-,Verb,"بَلَّشْت, بَلَّشْنا, بَلَّشْت, بَلَّشْتي, بَلَّشْتوا, بَلَّش, بَلَّشِت, بَلَّشَوا","بَلِّش, نْبَلِّش, تْبَلِّش, تْبَلّْشي, تْبَلّْشوا, يْبَلِّش, تْبَلِّش, يْبَلّْشوأ","بَلِّشْ, بَلّْشي, بَلّْشوا","مْبَلِّش, مْبَلّْشة, مْبَلّْشين",-
